id_stock_summary,date,stock_code,stock_name,remarks,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
4024821,2026-06-03,SOUL,Mitra Tirta Buwana Tbk.,--U-3000000000D212---L--------,39.0,0.0,0.0,39.0,36.0,37.0,-2.0,760400.0,28229600.0,87.0,33.6,37.0,142200.0,36.0,290500.0,1082526223.0,1082526223.0,0.0,0.0,0.0,,0.0,0.0,0.0
4024822,2026-06-03,SPMA,Suparma Tbk.,--UO2130000000B131------------,208.0,0.0,0.0,210.0,198.0,200.0,-8.0,940100.0,190718600.0,224.0,173.0,200.0,10600.0,199.0,12200.0,4100317438.0,4100317438.0,307933840.0,187100.0,10900.0,,0.0,0.0,0.0
4024823,2026-06-03,SPRE,Soraya Berjaya Indonesia Tbk.,--U-3000000000E413------------,76.0,0.0,0.0,78.0,71.0,74.0,-2.0,1707800.0,126656600.0,226.0,59.2,75.0,22200.0,72.0,4700.0,800000000.0,660000000.0,0.0,0.0,0.0,,0.0,0.0,0.0
4024824,2026-06-03,SPTO,Surya Pertiwi Tbk.,--MO1135000000C121------------,575.0,580.0,585.0,585.0,560.0,565.0,-10.0,1740300.0,990477000.0,610.0,48.7,575.0,51800.0,565.0,82300.0,2700000000.0,2700000000.0,944730000.0,628400.0,128600.0,,0.0,0.0,0.0
4024825,2026-06-03,SQMI,Wilton Makmur Indonesia Tbk.,--U-4100000000B143-E-L-------X,45.0,0.0,0.0,47.0,41.0,42.0,-3.0,6019800.0,273043100.0,77.0,23.9,46.0,514100.0,42.0,526900.0,15537591429.0,15537591429.0,3881290339.0,0.0,5000000.0,,0.0,0.0,0.0
4024826,2026-06-03,SRAJ,Sejahteraraya Anugrahjaya Tbk.,--UO2100000000F121------------,13000.0,14425.0,14375.0,14425.0,11225.0,12000.0,-1000.0,228100.0,2706812500.0,217.0,12806.7,12000.0,44800.0,11400.0,1000.0,12238959990.0,12238959990.0,2056145278.0,10700.0,6800.0,,0.0,0.0,0.0
4024827,2026-06-03,SRIL,Sri Rejeki Isman Tbk.,--U-4105000000E413BE-L---Y---X,146.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,60.8,0.0,0.0,0.0,0.0,20452176844.0,20452176844.0,8158373343.0,0.0,0.0,,0.0,0.0,0.0
4024828,2026-06-03,SRSN,Indo Acidatama Tbk,--UO2100000000B111------------,65.0,65.0,65.0,66.0,58.0,61.0,-4.0,72288700.0,4447685600.0,1619.0,11.1,62.0,2146400.0,61.0,1899000.0,6020000000.0,6020000000.0,1299718000.0,3704200.0,10299000.0,,0.0,0.0,0.0
4024829,2026-06-03,SRTG,Saratoga Investama Sedaya Tbk.,XDMO1135800000G512------------,1560.0,1560.0,1560.0,1560.0,1415.0,1470.0,-90.0,5571500.0,8239152000.0,3757.0,133.6,1480.0,3300.0,1470.0,101000.0,13564835000.0,13564835000.0,1341562182.0,647900.0,1709100.0,,0.0,0.0,0.0
4024830,2026-06-03,SSIA,Surya Semesta Internusa Tbk.,--MO1839M00000J211------------,1690.0,1695.0,1700.0,1705.0,1480.0,1625.0,-65.0,35791600.0,56832983000.0,6200.0,666.7,1630.0,201500.0,1625.0,105900.0,4705249440.0,4705249440.0,2562008320.0,8160600.0,6802400.0,,3172000.0,6502600000.0,8.0
